yelp_id,place_id,name,street_name,city,county,state,postal_code,coordinates,rating,review_count,business_status,category,hours
gSEf5XJGjROavT7Q8bmUtQ,ChIJw9chcdCd44kR09c5G_zGrPY,"('Lexington Playcare Center',)",6 Meriam St,Lexington,Middlesex County,MA,02420,"(42.4499375, -71.2288865)",5,9,OPERATIONAL,"['school', 'point_of_interest', 'establishment']","['Monday: 7:00 AM – 6:00 PM', 'Tuesday: 7:00 AM – 6:00 PM', 'Wednesday: 7:00 AM – 6:00 PM', 'Thursday: 7:00 AM – 6:00 PM', 'Friday: 7:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
9F8-_by7AXe1d3uitgT6gA,ChIJSSpu5uGC44kRByx2vzkmYEk,"('NY Pie',)",934 Moody St,Waltham,Middlesex County,MA,02453,"(42.3602781, -71.2391032)",4.1,258,OPERATIONAL,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 10:00 AM – 10:00 PM', 'Tuesday: 10:00 AM – 10:00 PM', 'Wednesday: 10:00 AM – 10:00 PM', 'Thursday: 10:00 AM – 10:00 PM', 'Friday: 10:00 AM – 11:00 PM', 'Saturday: 10:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 10:00 PM']"
OyXBUSG6kQwBu3SE-Fm5qQ,ChIJO7fDxoWflVQRseDleH5Enug,"('Archive Portland',)",10645 SE Henry St,Portland,Multnomah County,OR,97266,"(45.476746, -122.553246)",4.3,213,OPERATIONAL,"['health', 'point_of_interest', 'store', 'establishment']","['Monday: 9:00 AM – 9:00 PM', 'Tuesday: 9:00 AM – 9:00 PM', 'Wednesday: 9:00 AM – 9:00 PM', 'Thursday: 9:00 AM – 9:00 PM', 'Friday: 9:00 AM – 9:00 PM', 'Saturday: 9:00 AM – 9:00 PM', 'Sunday: 9:00 AM – 9:00 PM']"
rK-fgI2_-x0T4lxwF9L4Ww,ChIJ2QgzqbF544kR-HZHOjrGTjk,"('The Publick House',)",1648 Beacon St,Brookline,Norfolk County,MA,02445,"(42.3393356, -71.1366264)",4.5,1041,OPERATIONAL,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 5:00 – 10:00 PM', 'Wednesday: 5:00 – 10:00 PM', 'Thursday: 5:00 – 10:00 PM', 'Friday: 4:00 – 10:00 PM', 'Saturday: 12:00 – 10:00 PM', 'Sunday: 12:00 – 8:00 PM']"
9zq6uCI86OkN8g2bycB9RQ,ChIJYVAnBdp654gRsKcznA5UASY,"('Lee Forrest Design LLC',)",51 N Bumby Ave,Orlando,Orange County,FL,32803,"(28.5434061, -81.3514192)",5,28,OPERATIONAL,"['point_of_interest', 'establishment']","['Monday: Closed', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
Wr7nvjUGp--T3owwIy1ocg,ChIJ227ZSQ2ROIgR1A2v8djwzJg,"('American Freight Furniture, Mattress, Appliance',)",4707 Roberts Rd,Columbus,Franklin County,OH,43228,"(40.00239560000001, -83.132431)",4.4,386,OPERATIONAL,"['furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']","['Monday: 10:00 AM – 8:00 PM', 'Tuesday: 10:00 AM – 8:00 PM', 'Wednesday: 10:00 AM – 8:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 8:00 PM', 'Saturday: 10:00 AM – 8:00 PM', 'Sunday: 11:00 AM – 6:00 PM']"
_AD4ECiNIo4fgCBtoDFENw,ChIJ58cUAC2H3YgRksaSvnpI7YY,"('Arepas El Cacao',)",4115 Town Center Blvd,Orlando,Orange County,FL,32837,"(28.3652553, -81.4251793)",3.6,493,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Monday: 9:00 AM – 12:00 AM', 'Tuesday: 9:00 AM – 12:00 AM', 'Wednesday: 9:00 AM – 12:00 AM', 'Thursday: 9:00 AM – 1:00 AM', 'Friday: 9:00 AM – 4:00 AM', 'Saturday: 9:00 AM – 1:00 AM', 'Sunday: 9:00 AM – 3:00 AM']"
aRcMWn5I7oYRvr5QU6TvkQ,ChIJtWlLTBwJ9YgRzQVwIQfLv0M,"('The Righteous Room',)",2142 Johnson Ferry Rd NE,Atlanta,Dekalb County,GA,30319,"(33.8924437, -84.3257761)",4.5,282,OPERATIONAL,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","['Monday: 11:30 AM – 2:00 AM', 'Tuesday: 11:30 AM – 2:00 AM', 'Wednesday: 11:30 AM – 2:00 AM', 'Thursday: 11:30 AM – 2:00 AM', 'Friday: 11:30 AM – 2:00 AM', 'Saturday: 11:30 AM – 2:00 AM', 'Sunday: 12:00 PM – 12:00 AM']"
lBEdaQFaXS7QRml8uQcbMQ,ChIJe4Cvi_ahlVQRctk3LWYYHGk,"('Banfield Pet Hospital',)",940 SE 11th Ave,Portland,Multnomah County,OR,97214,"(45.5162446, -122.6545507)",4,84,OPERATIONAL,"['veterinary_care', 'point_of_interest', 'establishment']","['Monday: 8:00 AM – 6:00 PM', 'Tuesday: 8:00 AM – 6:00 PM', 'Wednesday: 8:00 AM – 6:00 PM', 'Thursday: 8:00 AM – 6:00 PM', 'Friday: 8:00 AM – 6:00 PM', 'Saturday: 8:00 AM – 6:00 PM', 'Sunday: 8:00 AM – 6:00 PM']"
RfrZOBwPAEosXeRYymMZ5w,ChIJC0x565h73YgRkAqEvrcyoxo,Great Clips,8312 Champions Gate Blvd,Four Corners,Osceola County,FL,33896,"(28.2611206, -81.6194484)",4.1,117,OPERATIONAL,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']","['Monday: 9:00 AM – 6:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 6:00 PM', 'Thursday: 9:00 AM – 6:00 PM', 'Friday: 9:00 AM – 6:00 PM', 'Saturday: 9:00 AM – 6:00 PM', 'Sunday: 10:00 AM – 5:00 PM']"
