index,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,matched,confidence
6,_AD4ECiNIo4fgCBtoDFENw,Arepas El Cacao,"4115 Town Center Blvd, Ste B",Orlando,FL,32837,28.365193,-81.425263,3.5,48,1,"{'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'NoiseLevel': ""'average'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Alcohol': ""'none'"", 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'DriveThru': 'False', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}""}","Venezuelan, Restaurants, Fast Food, Latin American","{'Monday': '10:0-4:0', 'Tuesday': '10:0-4:0', 'Wednesday': '10:0-4:0', 'Thursday': '10:0-4:0', 'Friday': '10:0-4:0', 'Saturday': '10:0-4:0', 'Sunday': '10:0-4:0'}","[""name: ('Arepas El Cacao',)"", 'full address: Hunter Creek Plaza, 4115 Town Center Blvd, Orlando, FL 32837, USA', 'coordinates: (28.3652553, -81.4251793)', 'postal code: 32837', 'state: FL']",80.0
7,aRcMWn5I7oYRvr5QU6TvkQ,The Righteous Room,2142 Johnson Ferry Rd,Brookhaven,GA,30319,33.892569,-84.325763,4.0,91,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'DogsAllowed': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': True, 'live': False, 'video': False, 'karaoke': False}"", 'RestaurantsTableService': 'True', 'Smoking': ""u'outdoor'""}","Restaurants, Bars, Nightlife, Dive Bars, American (Traditional)","{'Monday': '11:30-2:0', 'Tuesday': '11:30-2:0', 'Wednesday': '11:30-2:0', 'Thursday': '11:30-3:0', 'Friday': '11:30-3:0', 'Saturday': '11:30-3:0', 'Sunday': '12:30-2:0'}","[""name: ('The Righteous Room',)"", 'full address: 2142 Johnson Ferry Rd NE, Atlanta, GA 30319, USA', 'coordinates: (33.8924437, -84.3257761)', 'postal code: 30319', 'state: GA']",80.0
8,lBEdaQFaXS7QRml8uQcbMQ,Banfield Pet Hospital,"940 SE 11th Ave, Ste C",Portland,OR,97214,45.5162445,-122.6545507,2.5,17,1,,"Veterinarians, Pets","{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}","[""name: ('Banfield Pet Hospital',)"", 'full address: 940 SE 11th Ave Ste C, Portland, OR 97214, USA', 'coordinates: (45.5162446, -122.6545507)', 'postal code: 97214', 'state: OR']",60.0
9,RfrZOBwPAEosXeRYymMZ5w,Great Clips,8312 Champions Gate Blvd,Four Corners,FL,33896,28.2612791079,-81.6194681078,4.0,8,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Hair Salons, Beauty & Spas","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-19:0', 'Sunday': '10:0-18:0'}","['name: Great Clips', 'full address: 8312 Champions Gate Blvd, Championsgate, FL 33896, USA', 'coordinates: (28.2611206, -81.6194484)', 'postal code: 33896', 'state: FL']",100.0
10,sQcERMd8tfdDBrmcmUPQwg,Performance Merchant Alliance,"20 N Orange Ave, Ste 1300",Orlando,FL,32801,28.5424973,-81.3795036,2.0,13,1,,"Financial Services, Professional Services, Business Consulting","{'Monday': '8:0-18:30', 'Tuesday': '8:0-18:30', 'Wednesday': '8:0-18:30', 'Thursday': '8:0-18:30', 'Friday': '8:0-18:30'}",,
11,rd2FoEZHqo64oH4oNfxjOQ,BCAA,501 Sixth Street,New Westminster,BC,V3L 3B9,49.2120223,-122.9185833,2.5,13,1,,"Insurance, Automotive, Financial Services, Travel Services, Hotels & Travel","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-17:0'}","[""name: ('BCAA',)"", 'full address: Westminster Centre, 501 6th St, New Westminster, BC V3L 3B9, Canada', 'coordinates: (49.212022, -122.91858)', 'postal code: V3L 3B9', 'state: BC']",80.0
12,3M---z9TUZ60ka9B2RkBDw,Elite Guns,"2121 W Parmer Ln, Unit 107",Austin,TX,78727,30.415551,-97.697146,4.0,31,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2'}","Guns & Ammo, Active Life, Shopping, Gun/Rifle Ranges","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0'}","[""name: ('Elite Guns',)"", 'full address: 2121 W Parmer Ln APT 107, Austin, TX 78727, USA', 'coordinates: (30.4155066, -97.6971669)', 'postal code: 78727', 'state: TX']",60.0
13,wQ87nh7RFF0GV4sic-UKLw,Creations by Michelina,230 Adams St,Newton,MA,02458,42.357619,-71.1989942,4.5,14,1,{'BusinessAcceptsCreditCards': 'False'},"Local Services, Sewing & Alterations","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-13:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-13:0'}","[""name: ('Creations By Michelina',)"", 'full address: 230 Adams St, Newton, MA 02458, USA', 'coordinates: (42.3579016, -71.19901639999999)', 'postal code: 02458', 'state: MA']",80.0
14,AZVneWq5VH0hX3bWIbMp3g,Cock n Bull Saloon,6860 Summit Rd SW,Pataskala,OH,43062,39.9907285,-82.7527081,5.0,5,1,"{'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Alcohol': ""'full_bar'"", 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'BikeParking': 'True', 'Smoking': ""u'outdoor'"", 'HappyHour': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'CoatCheck': 'False', 'WheelchairAccessible': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'BYOB': 'False', 'Corkage': 'False'}","Dive Bars, Pubs, Bars, Nightlife, Wine Bars","{'Monday': '10:0-2:30', 'Tuesday': '10:0-2:30', 'Wednesday': '10:0-2:30', 'Thursday': '10:0-2:30', 'Friday': '10:0-2:30', 'Saturday': '10:0-2:30', 'Sunday': '10:0-2:30'}","['name: (""Cock \'n\' Bull"",)', 'full address: 6860 Summit Rd SW, Pataskala, OH 43062, USA', 'coordinates: (39.9907025, -82.7527717)', 'postal code: 43062', 'state: OH']",80.0
15,fN2ZrVaagdLFQE9FQ8V_TA,Floor Pro Network,91 Dupree Dr,Buda,TX,78610,30.0459918,-97.8353293,2.0,22,1,{'BusinessAcceptsCreditCards': 'True'},"Home Services, Flooring","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0'}","[""name: ('Floor Pro Network',)"", 'full address: 91 Dupree Dr, Buda, TX 78610, USA', 'coordinates: (30.0457415, -97.835264)', 'postal code: 78610', 'state: TX']",80.0
