name,latitude,longitude
"Dr. Maria Vasilakis, DMD",42.348328,-71.157438
Coyote Den,42.5126488,-73.229515
Subway,41.698098,-71.13694
City Point Bus Terminal,42.3385164,-71.0312759
Unos,43.210339,-71.5322147
Dunkin' Donuts,43.2736445,-71.4622964
Makris Lobster & Steak House,43.2395157,-71.4670821
Silas Bronson Library,41.5543509,-73.044859
Moe's Southwest Grill,42.2752323,-71.7520717
Jimmy's Tavern & Grill,42.2740093,-71.7540519
Burger King,42.2749154,-71.752676
McDonald's,42.2748667,-71.7532097
The Sole Proprietor,42.2712179,-71.807338
Thai Time,42.2709876,-71.8068378
MCI-Norfolk,42.1191173,-71.3041185
Women's and Children's Program,42.285655,-71.6282225
Lemuel Shattuck Hospital Correctional Unit,42.2995927,-71.1017299
Hampshire County Jail and House of Correction,42.3077901,-72.6591001
Essex County Pre-release and Re-entry Center,42.7139929,-71.1363779
Old Colony Correctional Center (Medium),41.9492166,-70.9561312
Old Colony Correctional Center (Minimum),41.9493894,-70.9561957
Bristol County Jail & House of Correction (Ash Street),41.6336134,-70.9351006
Boston Pre-Release Center,42.2924662,-71.1014102
Massachusetts Alcohol and Substance Abuse Center,41.9522171,-70.955134
Bristol County Jail and House of Correction (North Dartmouth),41.6653329,-70.9957847
FMC Devens - Satellite Camp,42.5284411,-71.6198742
Western Massachusetts Recovery and Wellness Center,42.0925272,-72.5740893
Dukes County Jail and House of Correction,41.3916291,-70.5194766
Suffolk County Jail,42.3672757,-71.0663292
MCI-Cedar Junction,42.1060579,-71.2897729
Bay State Correctional Center,42.1171811,-71.3000243
Suffolk County House of Correction,42.3344514,-71.0677408
Massachusetts Alcohol and Substance Abuse Center,41.8492079,-70.6608395
North Central Correctional Institute (Gardner - Minimum),42.579176,-71.9365327
Norfolk County Sheriffs Office and Correctional Center,42.260162,-71.2087217
Worcester County Jail and House of Correction,42.3230066,-71.7684724
Massachusetts Treatment Center,41.9461145,-70.9572541
North Central Correctional Institute (Gardner - Medium),42.5797524,-71.9420708
Bridgewater State Hospital,41.9432896,-70.9555679
Pondville Correctional Center,42.1084824,-71.2925588
Hampden County Correctional Center,42.2031021,-72.5126103
Barnstable County Correctional Facility,41.6771977,-70.5721253
MCI-Shirley (Minimum),42.5268135,-71.6533649
Essex County Correctional Facility and Sheriff's Hqtrs,42.5976769,-70.9868669
Berkshire County Jail and House of Correction,42.4864325,-73.2097459
Tewksbury Hospital,42.6069472,-71.2180803
Taunton State Hospital,41.9122623,-71.1018843
Massachusetts Eye and Ear,42.362739,-71.0701541
Pocasset Mental Health Center,41.6886763,-70.6017798
