name,latitude,longitude,verification_score
Bob Likes Thai Food,49.2513423,-123.101333,"matched: 97.0, ['Bob Likes Thai Food', (49.2513521, -123.1011962)]"
ARGO,49.2544359,-123.0200503,"partially matched: 57.4, ['Argo Greek', (49.2544364, -123.020646)]"
Kerala Kitchen,49.173723,-122.889641,"matched: 96.7, ['Kerala Kitchen', (49.1737665, -122.8897746)]"
Mid Century Modern Home,49.2537415,-123.0828385,"not matched: 31.29, ['Sharons', (49.2535053, -123.0826128)]"
Community Thrift and Vintage,49.2822178,-123.1044579,"not matched: 42.65, ['Nelson the Seagull', (49.2821626, -123.1045058)]"
Oxygen Yoga & Fitness,49.2631182,-123.1170205,"not matched: 46.59, ['Elysian Coffee Roasters', (49.2630977, -123.1172998)]"
Chocolaterie Bernard Callebaut,49.1543558,-123.1578111,"not matched: 40.32, ['Coco 都可 Bubble Tea', (49.15468, -123.158142)]"
Little Caesars,49.2195321279,-123.0408930571,"matched: 98.2, ['Little Caesars', (49.2195297, -123.0408142)]"
Accurate Nails & Spa,49.2023765,-122.9123898,"not matched: 41.24, ['Hyack Sushi', (49.2023953, -122.9126449)]"
Time Escape,49.1883910164,-123.1332582492,"not matched: 45.3, ['Chirpyhut Fried Chicken', (49.1884308, -123.1333651)]"
Briers Home Furnishings,49.2682272,-123.1510312,"not matched: 36.78, ['Crêpe Café', (49.2682195, -123.1508793)]"
Strut Orthotics,49.2684081,-123.1715101,"not matched: 35.71, ['Artistry Coffee Shop & Bistro', (49.2685244, -123.1709004)]"
Jackson's Poultry,49.2721138,-123.1349411011,"not matched: 45.43, [""Siegel's Bagels"", (49.2720921, -123.134966)]"
Uncle Tetsu's Japanese Cheesecake,49.2854643,-123.1259386,"not matched: 43.06, ['Castella Cheesecake', (49.2857878, -123.126904)]"
Barley's Homebrewing Supplies,49.2304607,-122.8929557,"not matched: 39.44, ['Sushi Heaven', (49.2306684, -122.8929259)]"
Downtown Vancouver Optometry Clinic,49.28276,-123.11871,"not matched: 25.14, ['Nordstrom E-Bar', (49.2822856, -123.1191044)]"
Geng Shi Ji,49.1871609,-123.1313808,"matched: 88.6, ['Geng Shi Ji', (49.1872375, -123.1318808)]"
Mumbai Masala Restaurant,49.310091,-123.041686,"partially matched: 76.64, ['Mumbai Masala', (49.3100817, -123.0417178)]"
Frank's Barber Shop,49.2616335,-123.1390958,"not matched: 31.26, ['RBC Royal Bank', (49.2611951, -123.1389199)]"
New West Laptops,49.2008358,-122.9143823,"not matched: 27.99, ['Chicko Chicken', (49.2008834, -122.9140334)]"
Studio Full Bloom,49.2726544,-123.0697263,"not matched: 37.57, ['Cafe Du Soleil', (49.2724289, -123.0697839)]"
Manfron Shirley M,49.2813038,-123.0556318,"not matched: 38.19, ['Roundel Café', (49.2812636, -123.0553386)]"
Cactus Club Cafe,49.1668313,-123.1377469,not matched
The Roost,49.2890522,-123.1394572,"matched: 98.2, ['The Roost', (49.2890139, -123.1394017)]"
Volume Studio Gallery,49.2815430717,-123.1339260936,"not matched: 36.72, [""Mary's on Davie"", (49.2817505, -123.1335605)]"
Coast Capital Savings,49.2857786,-123.1221398,"matched: 93.7, ['Coast Capital Savings', (49.285605, -123.122212)]"
Freshslice Pizza,49.279852,-122.798073,"not matched: 18.51, [""McDonald's"", (49.2797002, -122.7988456)]"
Living Room Cafe,49.254865,-123.020418,"not matched: 40.78, ['Nu Sushi Bar', (49.2548905, -123.0206192)]"
Yaletown Liquor Store,49.2755646,-123.1212037,"partially matched: 50.11, ['Yaletown Distilling Company', (49.2753903, -123.1216407)]"
Holiday Inn Hotel & Suites North Vancouver,49.3130408,-123.0268401,not matched
Klasik Inasal & Noodle Express,49.2623212,-123.089898,"not matched: 38.93, ['Pizzeria Barbarella', (49.2623317, -123.0897281)]"
Cilantro and Jalapeño,49.3102265171,-123.0819049048,"not matched: 33.22, ['The Fried Chicken Works Korean', (49.3099998, -123.0820407)]"
